ID     | Command line                                                                                                                                                                              | Date and time    | Action(s)      | Altered
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   124 | install vifm                                                                                                                                                                              | 2021-12-30 16:08 | Install        |    1   
   123 | install watchman                                                                                                                                                                          | 2021-12-29 16:34 | Install        |    8   
   122 | install git-delta                                                                                                                                                                         | 2021-12-16 09:08 | Install        |    1   
   121 | -y install --disablerepo=* /tmp/akmods.FgcaNJdU/results/kmod-acpi_call-5.14.18-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-12-11 17:23 | Install        |    1   
   120 | -y install --disablerepo=* /tmp/akmods.yWTruSgO/results/kmod-acpi_call-5.14.18-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-12-02 02:10 | Install        |    1 ##
   119 | upgrade --exclude=slack                                                                                                                                                                   | 2021-12-02 02:06 | ?, E, I, U     |   52 EE
   118 | upgrade slack-repo                                                                                                                                                                        | 2021-11-18 21:36 | Upgrade        |    1 EE
   117 | install -y ruby-devel                                                                                                                                                                     | 2021-11-14 22:21 | Install        |    1   
   116 | upgrade                                                                                                                                                                                   | 2021-11-11 12:37 | Upgrade        |   10   
   115 | -y install --disablerepo=* /tmp/akmods.ntYbnOyY/results/kmod-acpi_call-5.14.16-101.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-11-08 11:24 | Install        |    1   
   114 | upgrade -y                                                                                                                                                                                | 2021-11-08 11:22 | ?, E, I, U     |   21   
   113 | install -y neovim                                                                                                                                                                         | 2021-11-04 16:41 | Install        |    7   
   112 | -y install --disablerepo=* /tmp/akmods.Ezaswvym/results/kmod-acpi_call-5.14.15-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-11-04 16:41 | Install        |    1   
   111 | upgrade -y                                                                                                                                                                                | 2021-11-04 16:39 | ?, E, I, U     |   28 EE
   110 | upgrade -y                                                                                                                                                                                | 2021-10-29 08:04 | Upgrade        |   15 EE
   109 | install qutebrowser                                                                                                                                                                       | 2021-10-28 22:08 | Install        |    7   
   108 | -y install --disablerepo=* /tmp/akmods.hET0OSiX/results/kmod-acpi_call-5.14.13-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-10-27 20:24 | Install        |    1   
   107 | update /home/mike/Downloads/zoom_x86_64.rpm                                                                                                                                               | 2021-10-27 14:19 | Upgrade        |    1 EE
   106 | -y install --disablerepo=* /tmp/akmods.wRHZxqtj/results/kmod-acpi_call-5.14.13-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-10-27 13:35 | Install        |    1 ##
   105 | upgrade -y                                                                                                                                                                                | 2021-10-27 13:32 | ?, E, I, U     |   80 EE
   104 | upgrade -y                                                                                                                                                                                | 2021-10-13 17:14 | Upgrade        |    5   
   103 | -y install --disablerepo=* /tmp/akmods.WBBWLqIz/results/kmod-acpi_call-5.14.10-100.fc33.x86_64-1.2.1-1.fc33.x86_64.rpm                                                                    | 2021-10-12 10:31 | Install        |    1 ##
   102 | upgrade                                                                                                                                                                                   | 2021-10-12 10:28 | ?, E, I, U     |  101   
   101 |                                                                                                                                                                                           | 2021-10-04 15:02 | Install        |    2  <
